Transition,TwoLegged,Angle,Distance,PlayerType_C,PlayerType_F,PlayerType_G,Competition_EURO,Competition_NBA,Competition_SLO1,Competition_U14,Competition_U16,Movement_dribble or cut,Movement_drive,Movement_no,target
0,1,29.91,5.26,0,0,1,0,0,0,1,0,0,0,1,1
0,1,56.82,7.55,0,1,0,0,0,0,1,0,0,0,1,6
0,1,67.95,6.99,0,1,0,0,0,0,1,0,0,0,1,6
0,1,59.07,0.81,0,1,0,0,0,0,1,0,0,0,1,2
0,1,71.61,5.42,0,1,0,0,0,0,1,0,0,0,1,1
1,0,42.97,0.86,0,1,0,0,0,0,1,0,0,1,0,2
0,1,72.56,0.67,0,1,0,0,0,0,1,0,0,0,1,2
0,1,80.54,5.49,0,1,0,0,0,0,1,0,0,0,1,1
0,0,34.3,0.57,0,1,0,0,0,0,1,0,1,0,0,2
0,1,80.43,4.13,0,1,0,0,0,0,1,0,0,0,1,1
0,1,80.22,6.58,0,1,0,0,0,0,1,0,0,0,1,6
0,1,65.38,5.01,0,1,0,0,0,0,1,0,0,0,1,1
0,1,26.72,6.31,0,1,0,0,0,0,1,0,0,0,1,1
1,0,54.7,0.72,0,1,0,0,0,0,1,0,1,0,0,2
0,1,33.47,5.15,0,1,0,0,0,0,1,0,0,0,1,1
0,1,33.45,3.98,0,1,0,0,0,0,1,0,0,0,1,1
1,1,10.2,7.26,0,1,0,0,0,0,1,0,0,0,1,1
0,1,75.03,4.33,0,1,0,0,0,0,1,0,0,0,1,1
0,1,16.61,7.12,0,1,0,0,0,0,1,0,0,0,1,1
0,0,61.7,0.43,0,1,0,0,0,0,1,0,1,0,0,2
0,0,8.28,9.67,0,1,0,0,0,0,1,0,1,0,0,6
0,1,82.9,5.99,0,1,0,0,0,0,1,0,0,0,1,6
1,1,2.72,3.38,0,1,0,0,0,0,1,0,0,0,1,1
0,0,4.79,1.28,0,1,0,0,0,0,1,0,1,0,0,1
1,1,9.45,3.59,0,1,0,0,0,0,1,0,0,0,1,1
0,0,18.55,1.18,0,1,0,0,0,0,1,0,1,0,0,1
